
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	Ethane(ppbC)	9.484700E-001	0.000000E+000	3.252800E+000	4.219900E-001	1.219400E+000	6.954300E-001
1	Ethylene(ppbC)	4.065100E+000	7.663300E-001	3.877400E+000	1.931400E-001	8.456400E-004	3.089900E-001
1	Propane(ppbC)	1.087600E+000	5.940000E-001	3.304700E+000	5.687100E-001	1.679500E+000	1.274500E+000
1	Propylene(ppbC)	2.102400E+000	6.833400E-001	1.677200E+000	1.432200E-001	4.412900E-001	1.744100E-001
1	Isobutane(ppbC)	3.831100E-001	4.558500E-001	1.077200E+000	3.281100E-001	1.032000E+000	1.329000E+000
1	n-Butane(ppbC)	7.391700E-001	5.986500E-001	1.825600E+000	3.222500E-001	2.097100E+000	2.928600E+000
1	Acetylene(ppbC)	3.333400E-001	6.708600E-001	1.842800E+000	7.261700E-001	1.526200E-001	0.000000E+000
1	t-2-Butene(ppbC)	7.537800E-002	2.809500E-001	1.384200E-001	4.598300E-002	9.507500E-003	3.862700E-001
1	1-Butene(ppbC)	1.148500E-001	1.953400E-001	2.558100E-001	1.497100E-001	2.869600E-001	1.597200E-001
1	cis-2-Butene(ppbC)	9.818500E-002	1.385400E-001	1.254500E-001	5.663200E-002	2.399800E-002	2.045100E-001
1	Cyclopentane(ppbC)	1.622200E-001	3.924000E-003	2.190300E-001	2.967400E-001	1.616900E-001	1.725300E-001
1	Isopentane(ppbC)	1.006900E+000	5.601800E-001	1.314600E+000	6.425700E-001	2.212000E+000	3.538300E+000
1	n-Pentane(ppbC)	7.459900E-001	5.663000E-004	9.572400E-001	3.205800E-006	2.148500E+000	2.425800E+000
1	t-2-Pentene(ppbC)	7.980900E-002	2.373800E-001	1.050800E-001	1.657700E-001	1.204600E-002	2.745200E-001
1	1-Pentene(ppbC)	3.393900E-002	5.602800E-002	5.356300E-002	7.094300E-002	2.965300E-002	5.278100E-002
1	cis-2-Pentene(ppbC)	3.345000E-002	8.157200E-002	4.093000E-002	7.014400E-002	6.993700E-008	9.765900E-002
1	2,2-Dimethylbutane(ppbC)	4.896800E-002	3.516400E-002	5.657800E-002	1.169100E-001	3.623900E-002	7.153900E-002
1	2,3-Dimethylbutane(ppbC)	7.711100E-002	1.251800E-001	1.039400E-001	1.917300E-001	1.077900E-001	1.563300E-001
1	2-Methylpentane(ppbC)	2.760500E-001	1.828100E-001	3.015500E-001	6.084200E-001	2.281500E-001	6.167200E-001
1	3-Methylpentane(ppbC)	2.051100E-001	1.454100E-001	2.416900E-001	5.255500E-001	1.805300E-001	4.131200E-001
1	Isoprene(ppbC)	0.000000E+000	3.698800E-001	1.071700E-001	4.420700E-003	5.796000E-002	1.374700E-002
1	Methylcyclopentane(ppbC)	3.797400E-001	1.671600E-001	4.431400E-001	1.016900E+000	2.850400E-001	7.561500E-001
