
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

		Factor 1	Factor 2	Factor 3
2	Ethane(ppbC)	9.593500E-001	3.908900E+000	8.249600E-001
2	Ethylene(ppbC)	1.709200E-001	5.221400E+000	2.382800E+000
2	Propane(ppbC)	2.094600E+000	4.059500E+000	2.410400E+000
2	Propylene(ppbC)	5.626400E-001	2.054600E+000	1.773500E+000
2	Isobutane(ppbC)	2.098900E+000	1.369000E+000	1.354100E+000
2	n-Butane(ppbC)	4.059700E+000	2.558200E+000	1.796500E+000
2	Acetylene(ppbC)	0.000000E+000	2.094900E+000	1.708100E+000
2	t-2-Butene(ppbC)	5.159000E-001	2.467400E-001	6.003300E-002
2	1-Butene(ppbC)	4.540400E-001	3.528200E-001	3.045800E-001
2	cis-2-Butene(ppbC)	3.077900E-001	2.470000E-001	1.811900E-004
2	Cyclopentane(ppbC)	2.776600E-001	4.585700E-001	1.321000E-001
2	Isopentane(ppbC)	3.986500E+000	2.550400E+000	2.211900E+000
2	n-Pentane(ppbC)	3.134500E+000	1.519800E+000	7.966800E-001
2	t-2-Pentene(ppbC)	4.336700E-001	2.544800E-001	5.825700E-002
2	1-Pentene(ppbC)	1.231800E-001	9.862700E-002	4.418600E-002
2	cis-2-Pentene(ppbC)	1.524900E-001	9.163900E-002	4.701300E-002
2	2,2-Dimethylbutane(ppbC)	1.381400E-001	1.325100E-001	9.733400E-003
2	2,3-Dimethylbutane(ppbC)	2.704100E-001	2.481700E-001	2.408100E-001
2	2-Methylpentane(ppbC)	6.195300E-001	8.350600E-001	6.643200E-001
2	3-Methylpentane(ppbC)	4.432700E-001	6.657700E-001	5.843900E-001
2	Isoprene(ppbC)	2.870700E-001	9.263900E-004	3.332200E-001
2	Methylcyclopentane(ppbC)	8.774100E-001	1.222400E+000	5.757600E-001
2	2,4-Dimethylpentane(ppbC)	6.306600E-001	1.168300E+000	7.000800E-001
2	Benzene(ppbC)	1.133500E-001	2.478700E-001	3.581000E-001
2	Cyclohexane(ppbC)	1.641700E-001	2.466400E+000	1.702700E+000
2	2-Methylhexane(ppbC)	2.041100E-001	8.478400E-001	3.094800E-001
2	2,3-Dimethylpentane(ppbC)	2.332200E-001	5.256300E-001	8.341200E-001
2	3-Methylhexane(ppbC)	1.018800E-001	2.103800E-001	3.756300E-001
2	2,2,4-Trimethylpentane(ppbC)	2.610300E-001	5.360000E-001	8.875600E-001
2	n-Heptane(ppbC)	1.370100E-001	7.729400E-001	1.349900E+000
2	Methylcyclohexane(ppbC)	3.345900E-001	6.219300E-001	7.739600E-001
2	2,3,4-Trimethylpentane(ppbC)	2.242200E-001	3.063400E-001	2.485800E-001
2	Toluene(ppbC)	6.185900E-002	2.518800E-001	5.798800E-001
2	2-Methylheptane(ppbC)	2.832100E-001	8.214200E+000	1.204700E+001
2	3-Methylheptane(ppbC)	1.033400E-001	2.264600E-001	2.950900E-001
2	n-Octane(ppbC)	7.769600E-002	1.714500E-001	3.391000E-001
2	Ethylbenzene(ppbC)	1.666500E-001	2.748300E-001	6.048600E-001
2	m,p-Xylene(ppbC)	4.003500E-001	1.006800E+000	1.537500E+000
2	Styrene(ppbC)	9.899600E-001	2.803400E+000	5.283600E+000
2	o-Xylene(ppbC)	1.211000E-001	8.226600E-002	1.339300E+000
2	n-Nonane(ppbC)	4.072800E-001	1.041500E+000	2.331000E+000
2	Isopropylbenzene(ppbC)	1.181700E-001	6.918200E-002	4.972700E-001
2	n-Propylbenzene(ppbC)	5.634400E-002	5.179200E-002	2.664200E-001
2	m-Ethyltoluene(ppbC)	4.463700E-002	1.047200E-001	4.184100E-001
2	p-Ethyltoluene(ppbC)	9.533800E-002	3.648300E-001	1.090200E+000
2	1,3,5-Trimethylbenzene(ppbC)	9.349000E-002	1.937200E-001	6.908000E-001
2	o-Ethyltoluene(ppbC)	1.018400E-001	1.905600E-001	5.603900E-001
2	1,2,4-Trimethylbenzene(ppbC)	8.126700E-002	1.909400E-001	5.640100E-001
2	n-Decane(ppbC)	3.111300E-001	8.676600E-001	1.891900E+000
2	1,2,3-Trimethylbenzene(ppbC)	9.129000E-002	1.008100E-001	3.527000E-001
2	m-Diethylbenzene(ppbC)	1.783700E-001	2.059300E-001	7.470900E-001
2	p-Diethylbenzene(ppbC)	2.889000E-002	5.358900E-002	1.133700E-001
2	n-Undecane(ppbC)	5.209700E-002	1.091600E-001	3.633700E-001
2	n-Dodecane(ppbC)	8.758600E-002	5.375700E-002	2.936700E-001

Factor Profiles (% of species sum) from Base Run #2 (Convergent Run)

		Factor 1	Factor 2	Factor 3
2	Ethane(ppbC)	1.685077E+001	6.865898E+001	1.449024E+001
2	Ethylene(ppbC)	2.198294E+000	6.715524E+001	3.064647E+001
2	Propane(ppbC)	2.445677E+001	4.739915E+001	2.814408E+001
2	Propylene(ppbC)	1.281424E+001	4.679393E+001	4.039182E+001
2	Isobutane(ppbC)	4.352758E+001	2.839071E+001	2.808171E+001
2	n-Butane(ppbC)	4.824705E+001	3.040264E+001	2.135030E+001
2	Acetylene(ppbC)	0.000000E+000	5.508546E+001	4.491454E+001
2	t-2-Butene(ppbC)	6.271021E+001	2.999248E+001	7.297310E+000
2	1-Butene(ppbC)	4.085151E+001	3.174440E+001	2.740409E+001
2	cis-2-Butene(ppbC)	5.546054E+001	4.450681E+001	3.264854E-002
2	Cyclopentane(ppbC)	3.197632E+001	5.281057E+001	1.521311E+001
2	Isopentane(ppbC)	4.556625E+001	2.915143E+001	2.528232E+001
2	n-Pentane(ppbC)	5.750342E+001	2.788123E+001	1.461535E+001
2	t-2-Pentene(ppbC)	5.810101E+001	3.409400E+001	7.804991E+000
2	1-Pentene(ppbC)	4.630949E+001	3.707880E+001	1.661172E+001
2	cis-2-Pentene(ppbC)	5.237650E+001	3.147571E+001	1.614779E+001
2	2,2-Dimethylbutane(ppbC)	4.926825E+001	4.726029E+001	3.471461E+000
2	2,3-Dimethylbutane(ppbC)	3.560884E+001	3.268018E+001	3.171098E+001
2	2-Methylpentane(ppbC)	2.923815E+001	3.940989E+001	3.135197E+001
2	3-Methylpentane(ppbC)	2.617587E+001	3.931488E+001	3.450925E+001
2	Isoprene(ppbC)	4.621095E+001	1.491252E-001	5.363992E+001
2	Methylcyclopentane(ppbC)	3.279338E+001	4.568746E+001	2.151915E+001
2	2,4-Dimethylpentane(ppbC)	2.523609E+001	4.674995E+001	2.801396E+001
2	Benzene(ppbC)	1.575794E+001	3.445893E+001	4.978313E+001
2	Cyclohexane(ppbC)	3.788594E+000	5.691776E+001	3.929365E+001
2	2-Methylhexane(ppbC)	1.499232E+001	6.227570E+001	2.273198E+001
2	2,3-Dimethylpentane(ppbC)	1.464058E+001	3.299686E+001	5.236257E+001
2	3-Methylhexane(ppbC)	1.481051E+001	3.058338E+001	5.460611E+001
2	2,2,4-Trimethylpentane(ppbC)	1.549516E+001	3.181783E+001	5.268700E+001
2	n-Heptane(ppbC)	6.062792E+000	3.420316E+001	5.973405E+001
2	Methylcyclohexane(ppbC)	1.933510E+001	3.593974E+001	4.472516E+001
