
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
10	Ethane(ppbC)	4.073000E-001	2.295100E+000	0.000000E+000	1.220700E+000	9.474500E-001	0.000000E+000	8.380200E-001	0.000000E+000
10	Ethylene(ppbC)	0.000000E+000	3.059500E+000	2.973100E-001	1.225600E+000	1.444700E+000	0.000000E+000	0.000000E+000	2.228500E+000
10	Propane(ppbC)	1.426100E+000	2.391900E+000	5.529900E-001	2.384000E+000	6.794700E-003	2.606700E-001	9.781700E-001	6.432700E-001
10	Propylene(ppbC)	0.000000E+000	1.091700E+000	6.297900E-001	0.000000E+000	9.644800E-001	2.025500E-001	4.511100E-001	1.561400E+000
10	Isobutane(ppbC)	1.640800E+000	5.119800E-001	3.210300E-001	1.058000E+000	0.000000E+000	4.112200E-001	5.705300E-001	5.127000E-001
10	n-Butane(ppbC)	3.417400E+000	7.123000E-001	3.511400E-001	1.454800E+000	1.866500E-001	5.763500E-001	1.219600E+000	9.256500E-001
10	Acetylene(ppbC)	2.707900E-002	1.557500E+000	3.950500E-001	1.810600E+000	0.000000E+000	1.376000E-001	1.292500E-002	0.000000E+000
10	t-2-Butene(ppbC)	3.991200E-001	1.680200E-002	1.342100E-001	6.658000E-002	1.940400E-001	2.636800E-002	0.000000E+000	2.196100E-002
10	1-Butene(ppbC)	1.789800E-001	1.216700E-001	2.102000E-001	9.793200E-002	2.429900E-001	5.035400E-002	1.763100E-001	2.251700E-002
10	cis-2-Butene(ppbC)	2.024700E-001	4.370600E-002	6.390200E-002	3.662500E-002	1.709400E-001	1.419000E-003	1.149500E-002	3.372700E-002
10	Cyclopentane(ppbC)	1.530100E-001	8.894000E-002	1.936400E-002	1.329100E-001	2.591300E-001	3.760900E-003	1.301700E-001	9.585900E-002
10	Isopentane(ppbC)	3.637500E+000	2.535000E-001	6.770900E-001	1.298400E+000	3.661200E-001	1.929400E-001	1.591900E+000	1.305500E+000
