Source	n-Butane	Ethane	Ethylene	Propane	Propylene	Isobutane	n-Butane	Acetylene	t-2-Butene	1-Butene	cis-2-Butene	Cyclopentane	Isopentane	n-Pentane	t-2-Pentene	1-Pentene	cis-2-Pentene	"2,2-Dimethylbutane"	"2,3-Dimethylbutane"	2-Methylpentane	3-Methylpentane	Isoprene	Methylcyclopentane	"2,4-Dimethylpentane"	Benzene	Cyclohexane	2-Methylhexane	"2,3-Dimethylpentane"	3-Methylhexane	"2,2,4-Trimethylpentane"	n-Heptane	Methylcyclohexane	"2,3,4-Trimethylpentane"	Toluene	2-Methylheptane	3-Methylheptane	n-Octane	Ethylbenzene	"m,p-Xylene"	Styrene	o-Xylene	n-Nonane	Isopropylbenzene	n-Propylbenzene	m-Ethyltoluene	p-Ethyltoluene	"1,3,5-Trimethylbenzene"	o-Ethyltoluene	"1,2,4-Trimethylbenzene"	n-Decane	"1,2,3-Trimethylbenzene"	m-Diethylbenzene	p-Diethylbenzene	n-Undecane	n-Dodecane
Gasoline vapor	1	0.153888544	0.026505435	0.329493822	0.104867664	1.138574304	1	0.00205885	0.130312605	0.044270976	0.030051923	0.044564422	1.650851183	0.715056937	0.164853721	0.055475272	0.020118148	0.03365642	0.053224462	0.270179431	0.170366117	0.014756626	1.499429539	2.054903568	0.482566197	0.08437608	0.160726687	2.02377503	0.143254334	7.108063477	0.189944362	0.046632052	1.974441931	0.886612388	0.031046819	0.026386224	1.166488702	0.090111076	3.971350477	0.004765223	0.215280026	0.662556139	-999	0.516546481	0.078252004	0.043639254	0.003936081	0.036586215	0.048836354	0.017967946	0.086399898	-999	0.008215636	-999	-999
Paint solvent	1	0.166666667	1.126118376	0.696737552	0.697203742	1.399022801	1	-999	0	0	-999	-999	0.418516615	0.309565314	-999	-999	-999	-999	-999	0.528124234	0.123163689	0.003817778	-999	-999	2.589686504	-999	0.162855241	-999	0.390329959	-999	2.416603917	0.289873887	-999	20.27146852	-999	-999	0.401607431	3.871343482	12.73850999	8.25	12.38033377	0.226326078	-999	-999	-999	-999	-999	-999	1.192278247	0.370820172	-999	-999	-999	-999	-999
Natural gas	1	13.86055679	0.050288837	5.078023096	0.098132923	0.817270245	1	0.065064207	0.009368033	0.003489435	0	0.025846663	0.327675798	0.293776249	0.006063374	0.001190218	0	0.015074711	0.058382847	0.137173857	0.07879101	0.008938999	0.073184702	0.00241985	0.147728252	0.05093648	0.033126022	0.006617923	0.014382098	0.080029949	0.051821123	0.001742552	0.024428271	0.098836328	0.013628263	0.005431146	0.020380511	0.018987342	0.05985564	0.000504359	0.016331934	0.005947137	-999	0.000128272	-999	-999	0.000709772	-999	0.00224476	0.003243689	0.00122286	-999	-999	-999	-999
Liquefied petroleum gas	1	0.132588456	0.238911681	2.868201207	0.047523932	1.419047619	1	-999	0.006856162	0.006856162	-999	-999	0.492617901	0.0827734	-999	-999	-999	-999	-999	0.207772698	0.226891052	0.021580747	-999	-999	0.197454382	-999	0.15981385	-999	0.179534843	-999	0.059728076	-999	-999	0.448781902	-999	-999	0.034062874	0.07871599	0.152064584	-999	0.090035258	0.011203968	-999	-999	-999	-999	-999	-999	0.203513803	0.006217678	-999	-999	-999	-999	-999
Gasoline	1	1.055555556	0.638888889	1.594513458	0.361111111	-999	1	0.138888889	0.283229814	0.067080745	-999	0.188819876	-999	7.239061422	0.654658385	0.248447205	-999	0.293167702	0.438543823	1.818391994	1.08336784	0.083333333	0.867080745	-999	0.797584541	0.126708075	1.216011042	-999	1.090200138	0.888888889	1.170186335	0.398757764	0.388888889	3.583574879	0.428571429	0.513043478	-999	0.465873016	-999	0	0.715665977	-999	-999	-999	-999	-999	0.747826087	-999	2.765217391	-999	-999	-999	-999	-999	-999
Biogenic emissions	1	2.603522571	0.363188825	0.532403232	0.329284635	0.275862069	1	0.344827586	-999	0.064356504	-999	-999	7.833643828	0.315517686	-999	0.125	-999	-999	0.275862069	3.630672964	0.85891655	15.78110238	-999	-999	3.824145703	0	0.691593295	0	3.794405748	0.344827586	0.05625	0.025	0.103448276	0.509655172	0	0	0.480884839	8.680991706	11.84977573	0	5.216678691	9.96404585	-999	-999	-999	-999	-999	0.025	4.381102861	6.217447552	-999	-999	-999	-999	-999
Dry cleaning	1	1.168890673	0	0	0	-999	1	-999	0	0.10726084	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	0	-999	-999	-999	-999	-999	0.31929469	-999	-999	9.629476689	-999	-999	0.072793199	0	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Petrochem. industry	1	1.911504425	2.734391288	0.739104242	2.745239734	1.198860341	1	1.943925399	2.131809188	1.608866562	-999	-999	-999	0.258624398	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	0.358372254	2.238938053	-999	-999	-999	-999	9.263033329	-999	-999	1.874288647	-999	60.5	0	0	0.005885966	-999	0.001851094	-999	-999	-999	0.00508411	-999	-999	-999	0.005561811	-999	-999	-999	-999	-999	-999
Surface coatings	1	1.76468254	0.997619048	1.807142857	0.45	0.587301587	1	0.360714286	-999	0.079365079	0	-999	0.73015873	0.55	-999	0	0	0.111111111	0.08968254	0.369047619	0.263492063	0.055555556	-999	-999	0.641269841	0.047619048	0.240873016	-999	0.322619048	0.55	-999	0.063492063	0.125	2.782539683	0	-999	-999	0.953174603	-999	0.126984127	1.001984127	-999	-999	-999	-999	-999	0.031746032	-999	0.26984127	-999	0.206349206	-999	-999	-999	-999
Diesel exhuast	1	0.184115147	0.49346345	0.841797888	0.852345318	1.62541806	1	0.689237854	0.023809524	0.54067069	0.029241409	0.09592971	4.10615967	1.314806091	0.043096983	0.075093151	0.021931057	1.283971595	0.312212655	1.373699598	0.770365239	0.713426494	0.316644192	0.127759017	1.965355229	0.05980245	0.70344599	0.108639032	0.936535495	0.667380083	0.590599777	0.306838738	0.181957095	4.359096047	0.152965857	0.098886287	0.753668749	0.727028625	2.886823106	0.156010799	1.366173036	1.934644534	0.123064156	0.156061375	0.042682911	0.209468421	0.077906292	0.290486861	1.978528766	2.570103567	0.159134017	-999	-999	0.786378834	-999
