Source	n-999Butane	Ethane	Ethylene	Propane	Propylene	Isobutane	n-999Butane	Acetylene	t-9992-999Butene	1-999Butene	cis-9992-999Butene	Cyclopentane	Isopentane	n-999Pentane	t-9992-999Pentene	1-999Pentene	cis-9992-999Pentene	"2,2-999Dimethylbutane"	"2,3-999Dimethylbutane"	2-999Methylpentane	3-999Methylpentane	Isoprene	Methylcyclopentane	"2,4-999Dimethylpentane"	Benzene	Cyclohexane	2-999Methylhexane	"2,3-999Dimethylpentane"	3-999Methylhexane	"2,2,4-999Trimethylpentane"	n-999Heptane	Methylcyclohexane	"2,3,4-999Trimethylpentane"	Toluene	2-999Methylheptane	3-999Methylheptane	n-999Octane	Ethylbenzene	"m,p-999Xylene"	Styrene	o-999Xylene	n-999Nonane	Isopropylbenzene	n-999Propylbenzene	m-999Ethyltoluene	p-999Ethyltoluene	"1,3,5-999Trimethylbenzene"	o-999Ethyltoluene	"1,2,4-999Trimethylbenzene"	n-999Decane	"1,2,3-999Trimethylbenzene"	m-999Diethylbenzene	p-999Diethylbenzene	n-999Undecane	n-999Dodecane
Gasoline vapor	1	0.206817463	0.182988295	0.194990983	0.065192661	0.691579943	1	0.080114679	0.116911879	0.05655972	0.08045977	0.046046701	0.920529801	1.131416319	0.122456431	0.060730518	0.08045977	0.035750443	0.151420996	0.387793369	0.234572584	0.017020631	0.116481067	0.149425287	0.345164584	0.026667185	0.159943497	0.252873563	0.156962607	0.789655172	0.04558793	0.026616046	0.38045977	0.687498018	0.019333896	0.021763554	0.125443585	0.068142725	0.399487815	0.002988242	0.081993923	0.012203808	-999	0.034482759	0.126436782	0.057471264	0.017829584	0.045977011	0.047183062	0.009058385	0.045977011	-999	0.011494253	-999	-999
paint solvent	1	0	2.333333333	0.059446254	0.962962963	1.399022801	1	-999	0	0	-999	-999	0.33713355	0.302056943	-999	-999	-999	-999	-999	0.096091205	0.083061889	0.003257329	-999	-999	4.315418024	-999	0.094462541	-999	0.226384365	-999	4.300790204	-999	-999	265.1857884	-999	-999	0.204337073	15.26688985	81.4667481	8.25	33.83248884	0.102605863	-999	-999	-999	-999	-999	-999	0.576547231	0.151465798	-999	-999	-999	-999	-999
natural gas	1	16.34353933	0.126582278	6.114267733	0.17721519	-999	1	0.189873418	-999	-999	-999	-999	-999	0.266192964	-999	-999	-999	-999	0.075949367	0.151898734	0.075949367	0.025316456	-999	-999	0.113924051	-999	0.037974684	-999	0.025316456	0.139240506	-999	-999	0.063291139	0.227848101	-999	-999	-999	0.037974684	-999	-999	0.037974684	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
liquefied petroleum gas	1	2.153003331	0.495028409	64.92313408	0.064772727	1.419047619	1	-999	0.026278409	0.014914773	0.045454545	0.068181818	0.396825397	0.144812602	0.181818182	0.068181818	0.090909091	0.068181818	0.409090909	0.633391053	0.406053391	0.018412698	0.772727273	0.454545455	0.136156806	0.113636364	0.307712843	0.795454545	0.336154401	1.136363636	0.151250301	0.227272727	0.522727273	0.404294432	0.227272727	0.227272727	0.072160143	0.188034512	1.076565657	-999	0.299235961	0.036630592	0.045454545	0.159090909	0.545454545	0.25	0.295454545	0.204545455	0.537842713	0.023997114	0.204545455	0.045454545	-999	0.022727273	-999
Gasoline	1	1.915824916	0.638888889	1.594513458	0.255892256	-999	1	0.138888889	0.283229814	0.067080745	-999	0.188819876	-999	6.673010645	0.654658385	0.248447205	-999	0.293167702	0.438543823	1.818391994	1.08336784	0.083333333	0.867080745	-999	0.895359391	0.126708075	1.216011042	-999	1.090200138	0.888888889	2.698729531	0.398757764	0.388888889	3.858746889	0.428571429	0.513043478	-999	0.465873016	6.136363636	0	0.715665977	-999	-999	-999	-999	-999	0.747826087	-999	2.765217391	-999	-999	-999	-999	-999	-999
Biogenic Emissions	1	1.47183908	0.475287356	0.356321839	0.38908046	0.275862069	1	0.344827586	0	0.066666667	-999	-999	6.310344828	0.148275862	-999	-999	-999	-999	0.275862069	3.362068966	0.913793103	78.09042146	-999	-999	4.287356322	-999	0.637931034	-999	2.25862069	0.344827586	0	-999	0.103448276	0.482758621	-999	-999	0.309770115	9.862068966	28.51724138	-999	4.425287356	4.517241379	-999	-999	-999	-999	-999	-999	4.206896552	5.068965517	-999	-999	-999	-999	-999
Dry cleaning	1	2.259259259	0	0	0	-999	1	-999	0	0.111111111	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	0	-999	-999	-999	-999	-999	0.185185185	-999	-999	6.074074074	-999	-999	0.037037037	0	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Petrochem. Industry	1	0	8.958333333	0	3.791666667	-999	1	-999	2.208333333	2.5	-999	-999	-999	0.208333333	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	0	-999	-999	-999	-999	-999	0.041666667	-999	-999	0.291666667	-999	-999	0	0	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Surface coatings	1	0.45	0.9	0.9	0.45	-999	1	0.15	-999	-999	-999	-999	-999	0.55	-999	-999	-999	-999	0.1	0.5	0.4	0	-999	-999	0.6	-999	0.45	-999	0.55	0.55	-999	-999	0.25	4.2	-999	-999	-999	1.7	-999	-999	1.75	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Diesel Exhuast	1	0.172413793	0.586206897	1.045323492	1.689655172	1.62541806	1	0.655172414	-999	1.24137931	0.137931034	0.103448276	3.307692308	1.16837735	0.275862069	0.344827586	0.103448276	1.275862069	0.344827586	1.124264791	0.881097913	0.608695652	0.379310345	0.137931034	1.906412179	0.137931034	0.816053512	0.206896552	0.645023642	0.689655172	0.583266059	0.172413793	0.206896552	3.162380348	0.275862069	0.206896552	0.535405374	0.489505247	2.221485411	0.482758621	0.95571445	0.942913159	0.137931034	0.172413793	0.068965517	0.275862069	0.379310345	0.517241379	1.565621036	1.274708799	0.379310345	-999	-999	1.068965517	-999
